id,studentid,jobid,action,content
390,2015011319,2,BEGIN_CALIBRATION,TIMESTAMP=1446025455947	USER=2015011319	JOBID=2	ACTION=BEGIN_CALIBRATION	INFO:
391,2015011319,2,END_CALIBRATION,TIMESTAMP=1446025533088	USER=2015011319	JOBID=2	ACTION=END_CALIBRATION	INFO:
392,2015011319,2,BEGIN_READING,TIMESTAMP=1446025550074	USER=2015011319	JOBID=2	ACTION=BEGIN_READING	INFO: CURRENT_DOC=1
393,2015011319,2,END_READING,TIMESTAMP=1446025684416	USER=2015011319	JOBID=2	ACTION=END_READING	INFO: CURRENT_DOC=1
394,2015011319,2,TIME_ESTIMATION,TIMESTAMP=1446025693555	USER=2015011319	JOBID=2	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=1 ET=180
395,2015011319,2,BEGIN_READING,TIMESTAMP=1446025697026	USER=2015011319	JOBID=2	ACTION=BEGIN_READING	INFO: CURRENT_DOC=2
396,2015011319,2,END_READING,TIMESTAMP=1446025744971	USER=2015011319	JOBID=2	ACTION=END_READING	INFO: CURRENT_DOC=2
397,2015011319,2,TIME_ESTIMATION,TIMESTAMP=1446025751370	USER=2015011319	JOBID=2	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=2 ET=70
398,2015011319,2,BEGIN_READING,TIMESTAMP=1446025753481	USER=2015011319	JOBID=2	ACTION=BEGIN_READING	INFO: CURRENT_DOC=3
399,2015011319,2,END_READING,TIMESTAMP=1446025819684	USER=2015011319	JOBID=2	ACTION=END_READING	INFO: CURRENT_DOC=3
400,2015011319,2,TIME_ESTIMATION,TIMESTAMP=1446025828126	USER=2015011319	JOBID=2	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=3 ET=100
401,2015011319,2,BEGIN_READING,TIMESTAMP=1446025830286	USER=2015011319	JOBID=2	ACTION=BEGIN_READING	INFO: CURRENT_DOC=4
402,2015011319,2,END_READING,TIMESTAMP=1446025958742	USER=2015011319	JOBID=2	ACTION=END_READING	INFO: CURRENT_DOC=4
403,2015011319,2,TIME_ESTIMATION,TIMESTAMP=1446025968542	USER=2015011319	JOBID=2	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=4 ET=160
404,2015011319,3,BEGIN_CALIBRATION,TIMESTAMP=1446026012869	USER=2015011319	JOBID=3	ACTION=BEGIN_CALIBRATION	INFO:
405,2015011319,3,END_CALIBRATION,TIMESTAMP=1446026078764	USER=2015011319	JOBID=3	ACTION=END_CALIBRATION	INFO:
406,2015011319,3,BEGIN_READING,TIMESTAMP=1446026084904	USER=2015011319	JOBID=3	ACTION=BEGIN_READING	INFO: CURRENT_DOC=1
407,2015011319,3,END_READING,TIMESTAMP=1446026183732	USER=2015011319	JOBID=3	ACTION=END_READING	INFO: CURRENT_DOC=1
408,2015011319,3,TIME_ESTIMATION,TIMESTAMP=1446026198115	USER=2015011319	JOBID=3	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=1 ET=129
409,2015011319,3,BEGIN_READING,TIMESTAMP=1446026200135	USER=2015011319	JOBID=3	ACTION=BEGIN_READING	INFO: CURRENT_DOC=2
410,2015011319,3,END_READING,TIMESTAMP=1446026374442	USER=2015011319	JOBID=3	ACTION=END_READING	INFO: CURRENT_DOC=2
411,2015011319,3,TIME_ESTIMATION,TIMESTAMP=1446026382200	USER=2015011319	JOBID=3	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=2 ET=200
412,2015011319,3,BEGIN_READING,TIMESTAMP=1446026384050	USER=2015011319	JOBID=3	ACTION=BEGIN_READING	INFO: CURRENT_DOC=3
413,2015011319,3,END_READING,TIMESTAMP=1446026572864	USER=2015011319	JOBID=3	ACTION=END_READING	INFO: CURRENT_DOC=3
414,2015011319,3,TIME_ESTIMATION,TIMESTAMP=1446026584304	USER=2015011319	JOBID=3	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=3 ET=210
415,2015011319,3,BEGIN_READING,TIMESTAMP=1446026587227	USER=2015011319	JOBID=3	ACTION=BEGIN_READING	INFO: CURRENT_DOC=4
416,2015011319,3,END_READING,TIMESTAMP=1446026628938	USER=2015011319	JOBID=3	ACTION=END_READING	INFO: CURRENT_DOC=4
417,2015011319,3,TIME_ESTIMATION,TIMESTAMP=1446026634415	USER=2015011319	JOBID=3	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=4 ET=60
418,2015011319,4,BEGIN_CALIBRATION,TIMESTAMP=1446026671066	USER=2015011319	JOBID=4	ACTION=BEGIN_CALIBRATION	INFO:
419,2015011319,4,END_CALIBRATION,TIMESTAMP=1446026736630	USER=2015011319	JOBID=4	ACTION=END_CALIBRATION	INFO:
420,2015011319,4,BEGIN_READING,TIMESTAMP=1446026742997	USER=2015011319	JOBID=4	ACTION=BEGIN_READING	INFO: CURRENT_DOC=1
421,2015011319,4,END_READING,TIMESTAMP=1446026820830	USER=2015011319	JOBID=4	ACTION=END_READING	INFO: CURRENT_DOC=1
422,2015011319,4,TIME_ESTIMATION,TIMESTAMP=1446026830913	USER=2015011319	JOBID=4	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=1 ET=90
423,2015011319,4,BEGIN_READING,TIMESTAMP=1446026833144	USER=2015011319	JOBID=4	ACTION=BEGIN_READING	INFO: CURRENT_DOC=2
424,2015011319,4,END_READING,TIMESTAMP=1446026933011	USER=2015011319	JOBID=4	ACTION=END_READING	INFO: CURRENT_DOC=2
425,2015011319,4,TIME_ESTIMATION,TIMESTAMP=1446026941687	USER=2015011319	JOBID=4	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=2 ET=119
426,2015011319,4,BEGIN_READING,TIMESTAMP=1446026943721	USER=2015011319	JOBID=4	ACTION=BEGIN_READING	INFO: CURRENT_DOC=3
427,2015011319,4,END_READING,TIMESTAMP=1446027021782	USER=2015011319	JOBID=4	ACTION=END_READING	INFO: CURRENT_DOC=3
428,2015011319,4,TIME_ESTIMATION,TIMESTAMP=1446027026222	USER=2015011319	JOBID=4	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=3 ET=91
429,2015011319,4,BEGIN_READING,TIMESTAMP=1446027027768	USER=2015011319	JOBID=4	ACTION=BEGIN_READING	INFO: CURRENT_DOC=4
430,2015011319,4,END_READING,TIMESTAMP=1446027143729	USER=2015011319	JOBID=4	ACTION=END_READING	INFO: CURRENT_DOC=4
431,2015011319,4,TIME_ESTIMATION,TIMESTAMP=1446027152269	USER=2015011319	JOBID=4	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=4 ET=140
432,2015011253,0,BEGIN_CALIBRATION,TIMESTAMP=1446040551765	USER=2015011253	JOBID=0	ACTION=BEGIN_CALIBRATION	INFO:
433,2015011253,0,END_CALIBRATION,TIMESTAMP=1446040619165	USER=2015011253	JOBID=0	ACTION=END_CALIBRATION	INFO:
434,2015011253,0,END_READING,TIMESTAMP=1446040625418	USER=2015011253	JOBID=0	ACTION=END_READING	INFO: CURRENT_DOC=0
435,2015011253,0,BEGIN_READING,TIMESTAMP=1446040627780	USER=2015011253	JOBID=0	ACTION=BEGIN_READING	INFO: CURRENT_DOC=1
436,2015011253,0,END_READING,TIMESTAMP=1446040814545	USER=2015011253	JOBID=0	ACTION=END_READING	INFO: CURRENT_DOC=1
437,2015011253,0,TIME_ESTIMATION,TIMESTAMP=1446040823478	USER=2015011253	JOBID=0	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=1 ET=239
438,2015011253,0,BEGIN_READING,TIMESTAMP=1446040827277	USER=2015011253	JOBID=0	ACTION=BEGIN_READING	INFO: CURRENT_DOC=2
439,2015011253,0,END_READING,TIMESTAMP=1446040962728	USER=2015011253	JOBID=0	ACTION=END_READING	INFO: CURRENT_DOC=2
440,2015011253,0,TIME_ESTIMATION,TIMESTAMP=1446040971363	USER=2015011253	JOBID=0	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=2 ET=208
