id,studentid,jobid,action,content
52,2015012616,3,END_READING,TIMESTAMP=1449745845171	USER=2015012616	JOBID=3	ACTION=END_READING	INFO: CURRENT_DOC=2
53,2015012616,3,RELEVANCE_ANNOTATION,TIMESTAMP=1449745850506	USER=2015012616	JOBID=3	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=2 REL=0
54,2015012616,3,RELEVANCE_ANNOTATION,TIMESTAMP=1449745862739	USER=2015012616	JOBID=3	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=2 REL=1
55,2015012616,3,BEGIN_READING,TIMESTAMP=1449745864283	USER=2015012616	JOBID=3	ACTION=BEGIN_READING	INFO: CURRENT_DOC=3
56,2015012616,3,END_READING,TIMESTAMP=1449746051466	USER=2015012616	JOBID=3	ACTION=END_READING	INFO: CURRENT_DOC=3
57,2015012616,3,RELEVANCE_ANNOTATION,TIMESTAMP=1449746054473	USER=2015012616	JOBID=3	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=3 REL=3
58,2015012616,3,BEGIN_READING,TIMESTAMP=1449746057202	USER=2015012616	JOBID=3	ACTION=BEGIN_READING	INFO: CURRENT_DOC=4
59,2015012616,3,END_READING,TIMESTAMP=1449746188273	USER=2015012616	JOBID=3	ACTION=END_READING	INFO: CURRENT_DOC=4
60,2015012616,3,RELEVANCE_ANNOTATION,TIMESTAMP=1449746190337	USER=2015012616	JOBID=3	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=4 REL=1
61,2015012616,3,TIME_ESTIMATION,TIMESTAMP=1449746219681	USER=2015012616	JOBID=3	DOCID=0	ACTION=TIME_ESTIMATION	INFO:Segments=393_572_808_
62,2015012616,3,RELATIVE_ESTIMATION,TIMESTAMP=1449746293608	USER=2015012616	JOBID=3	DOCID=0	ACTION=RELATIVE_ESTIMATION	INFO:Range=_10_13_5_7_6_8_6_9_30_35 Relative=100_53_57_57_
