studentid,taskid,docid,docrank,perceived relevance,dwell time,time1,time2_low,time2_high,time3,,R,IR,R-dtime,IR-dtime,avg-R-dtime,avg-IR-dtime,avg-(R-IR)-dtime
2015012674,4,4,1,0,47.4,130,50,70,31,,FALSE,TRUE,0,47.4,,,
2015012674,4,5,2,0,70.3,130,50,70,30,,FALSE,TRUE,0,70.3,,,
2015012674,4,1,3,3,123.6,346,120,180,71,,TRUE,FALSE,123.6,0,,,
2015012674,4,2,4,3,162.9,394,140,180,78,,TRUE,FALSE,162.9,0,,,
2015012674,5,1,1,3,105.6,383,120,150,96,,TRUE,FALSE,105.6,0,,,
2015012674,5,4,2,0,23.3,135,30,60,30,,FALSE,TRUE,0,23.3,,,
2015012674,5,5,3,0,24.7,142,30,60,32,,FALSE,TRUE,0,24.7,,,
2015012674,5,2,4,3,67.7,340,110,140,96,,TRUE,FALSE,67.7,0,,,
2015012617,2,4,1,1,183.5,160,70,80,33,,FALSE,TRUE,0,183.5,195.325,101.775,93.55
2015012617,2,5,2,1,160.9,138,60,70,28,,FALSE,TRUE,0,160.9,,,
2015012617,2,1,3,3,256.5,373,160,180,94,,TRUE,FALSE,256.5,0,,,
2015012617,2,2,4,2,230.8,329,140,160,85,,TRUE,FALSE,230.8,0,,,
2015012617,3,1,1,3,177,393,140,170,100,,TRUE,FALSE,177,0,,,
2015012617,3,4,2,1,90.3,191,80,100,41,,FALSE,TRUE,0,90.3,,,
2015012617,3,5,3,1,119.9,197,80,100,43,,FALSE,TRUE,0,119.9,,,
2015012617,3,2,4,2,163.1,219,100,120,65,,TRUE,FALSE,163.1,0,,,
2015012617,4,1,1,3,203,442,150,170,100,,TRUE,FALSE,203,0,,,
2015012617,4,2,2,3,172.1,312,140,160,87,,TRUE,FALSE,172.1,0,,,
2015012617,4,4,3,0,71.5,117,50,60,35,,FALSE,TRUE,0,71.5,,,
2015012617,4,5,4,0,74.3,129,60,70,45,,FALSE,TRUE,0,74.3,,,
2015012617,5,1,1,3,207.9,377,140,160,99,,TRUE,FALSE,207.9,0,,,
2015012617,5,4,2,0,56.5,162,70,100,47,,FALSE,TRUE,0,56.5,,,
2015012617,5,2,3,3,152.2,315,130,150,93,,TRUE,FALSE,152.2,0,,,
2015012617,5,5,4,0,57.3,146,50,80,35,,FALSE,TRUE,0,57.3,,,
2015012610,2,1,1,3,203,392,100,160,100,,TRUE,FALSE,203,0,98.67777778,51.61428571,47.06349206
2015012610,2,4,2,0,36.4,125,60,110,24,,FALSE,TRUE,0,36.4,,,
2015012610,2,5,3,0,68,190,80,140,56,,FALSE,TRUE,0,68,,,
2015012610,2,2,4,2,97.6,293,100,170,80,,TRUE,FALSE,97.6,0,,,
2015012610,3,1,1,3,133.6,311,90,160,60,,TRUE,FALSE,133.6,0,,,
2015012610,3,2,2,2,69.5,240,60,120,31,,TRUE,FALSE,69.5,0,,,
2015012610,3,4,3,1,73.6,186,50,110,26,,FALSE,TRUE,0,73.6,,,
2015012610,3,5,4,1,89.1,263,70,130,48,,FALSE,TRUE,0,89.1,,,
2015012610,4,4,1,0,34.7,138,30,90,20,,FALSE,TRUE,0,34.7,,,
2015012610,4,5,2,0,25.7,174,20,70,14,,FALSE,TRUE,0,25.7,,,
2015012610,4,1,3,2,49.2,290,60,110,53,,TRUE,FALSE,49.2,0,,,
2015012610,4,2,4,3,72.1,398,50,100,41,,TRUE,FALSE,72.1,0,,,
2015012610,5,1,1,3,144.1,401,90,140,100,,TRUE,FALSE,144.1,0,,,
2015012610,5,4,2,0,33.8,131,50,110,52,,FALSE,TRUE,0,33.8,,,
2015012610,5,2,3,3,64.8,176,60,120,69,,TRUE,FALSE,64.8,0,,,
2015012610,5,5,4,2,54.2,292,80,140,81,,TRUE,FALSE,54.2,0,,,
2015012618,2,1,1,2,131.6,313,180,190,100,,TRUE,FALSE,131.6,0,118.4142857,74.52222222,43.89206349
2015012618,2,2,2,1,125.1,252,150,170,75,,FALSE,TRUE,0,125.1,,,
2015012618,2,4,3,1,97.2,229,170,190,86,,FALSE,TRUE,0,97.2,,,
2015012618,2,5,4,1,89.4,206,130,150,65,,FALSE,TRUE,0,89.4,,,
2015012618,3,4,1,1,78.7,294,170,190,76,,FALSE,TRUE,0,78.7,,,
2015012618,3,5,2,1,126.8,164,120,130,65,,FALSE,TRUE,0,126.8,,,
2015012618,3,1,3,3,173.8,265,210,230,100,,TRUE,FALSE,173.8,0,,,
2015012618,3,2,4,3,115.9,277,170,180,83,,TRUE,FALSE,115.9,0,,,
2015012618,4,1,1,3,119.4,358,110,120,91,,TRUE,FALSE,119.4,0,,,
2015012618,4,4,2,0,42.8,155,30,40,36,,FALSE,TRUE,0,42.8,,,
2015012618,4,5,3,0,33.7,124,40,50,48,,FALSE,TRUE,0,33.7,,,
2015012618,4,2,4,3,100.6,363,120,140,100,,TRUE,FALSE,100.6,0,,,
2015012618,5,1,1,3,115.8,386,120,140,100,,TRUE,FALSE,115.8,0,,,
2015012618,5,4,2,0,43,121,40,50,44,,FALSE,TRUE,0,43,,,
2015012618,5,2,3,3,71.8,332,100,110,78,,TRUE,FALSE,71.8,0,,,
2015012618,5,5,4,0,34,161,60,70,63,,FALSE,TRUE,0,34,,,
2015012811,2,4,1,0,105.4,202,120,160,75,,FALSE,TRUE,0,105.4,147.2875,83.675,63.6125
2015012811,2,5,2,0,87.2,216,120,160,77,,FALSE,TRUE,0,87.2,,,
2015012811,2,1,3,3,159.6,328,170,230,100,,TRUE,FALSE,159.6,0,,,
2015012811,2,2,4,2,103.3,254,140,190,82,,TRUE,FALSE,103.3,0,,,
2015012811,3,1,1,2,121.3,286,150,200,90,,TRUE,FALSE,121.3,0,,,
2015012811,3,2,2,2,133.8,306,160,210,100,,TRUE,FALSE,133.8,0,,,
2015012811,3,4,3,0,96.9,211,110,170,78,,FALSE,TRUE,0,96.9,,,
2015012811,3,5,4,0,98.6,197,100,150,74,,FALSE,TRUE,0,98.6,,,
2015012811,4,1,1,3,181.7,319,160,230,100,,TRUE,FALSE,181.7,0,,,
2015012811,4,4,2,0,60.4,185,100,170,62,,FALSE,TRUE,0,60.4,,,
2015012811,4,5,3,0,73.9,182,110,170,63,,FALSE,TRUE,0,73.9,,,
2015012811,4,2,4,3,166.5,314,160,230,92,,TRUE,FALSE,166.5,0,,,
2015012811,5,1,1,3,159.3,275,150,210,95,,TRUE,FALSE,159.3,0,,,
2015012811,5,4,2,0,71,210,120,180,78,,FALSE,TRUE,0,71,,,
2015012811,5,2,3,3,152.8,343,150,210,99,,TRUE,FALSE,152.8,0,,,
2015012811,5,5,4,0,76,172,120,180,75,,FALSE,TRUE,0,76,,,
2012012767,2,1,1,3,121.4,387,90,120,90,,TRUE,FALSE,121.4,0,97.1,44.61428571,52.48571429
2012012767,2,4,2,0,33.6,185,80,100,73,,FALSE,TRUE,0,33.6,,,
2012012767,2,2,3,2,75.2,308,100,130,100,,TRUE,FALSE,75.2,0,,,
2012012767,2,5,4,1,28.2,120,50,70,52,,FALSE,TRUE,0,28.2,,,
2012012767,3,4,1,2,86.2,250,70,90,88,,TRUE,FALSE,86.2,0,,,
2012012767,3,5,2,2,73.5,224,70,90,87,,TRUE,FALSE,73.5,0,,,
2012012767,3,1,3,3,102.1,305,70,100,100,,TRUE,FALSE,102.1,0,,,
2012012767,3,2,4,1,55.7,221,50,80,72,,FALSE,TRUE,0,55.7,,,
2012012767,4,1,1,3,84.6,317,80,100,96,,TRUE,FALSE,84.6,0,,,
2012012767,4,4,2,1,68.6,216,70,90,78,,FALSE,TRUE,0,68.6,,,
2012012767,4,5,3,0,37.3,190,50,70,70,,FALSE,TRUE,0,37.3,,,
2012012767,4,2,4,3,93.4,277,70,90,90,,TRUE,FALSE,93.4,0,,,
2012012767,5,1,1,3,128.5,283,90,120,90,,TRUE,FALSE,128.5,0,,,
2012012767,5,2,2,3,109,309,90,140,100,,TRUE,FALSE,109,0,,,
2012012767,5,4,3,1,46,260,80,90,77,,FALSE,TRUE,0,46,,,
2012012767,5,5,4,1,42.9,148,50,80,56,,FALSE,TRUE,0,42.9,,,
2014012759,2,1,1,2,95.7,202,70,80,79,,TRUE,FALSE,95.7,0,110.2,88.08888889,22.11111111
2014012759,2,4,2,0,66.5,336,110,120,85,,FALSE,TRUE,0,66.5,,,
2014012759,2,2,3,2,117.2,312,100,110,86,,TRUE,FALSE,117.2,0,,,
2014012759,2,5,4,0,61.1,150,60,70,73,,FALSE,TRUE,0,61.1,,,
2014012759,3,4,1,1,119.4,198,90,100,70,,FALSE,TRUE,0,119.4,,,
2014012759,3,5,2,1,129.3,310,110,120,76,,FALSE,TRUE,0,129.3,,,
2014012759,3,1,3,3,117.5,284,120,130,73,,TRUE,FALSE,117.5,0,,,
2014012759,3,2,4,1,82.1,208,80,90,65,,FALSE,TRUE,0,82.1,,,
2014012759,4,1,1,3,103.9,268,90,100,83,,TRUE,FALSE,103.9,0,,,
2014012759,4,2,2,3,96.3,361,100,110,87,,TRUE,FALSE,96.3,0,,,
2014012759,4,4,3,0,74.4,151,60,70,76,,FALSE,TRUE,0,74.4,,,
2014012759,4,5,4,0,90.6,220,70,80,78,,FALSE,TRUE,0,90.6,,,
2014012759,5,1,1,3,125.6,255,70,80,87,,TRUE,FALSE,125.6,0,,,
