id,studentid,jobid,action,content
186,2015011335,4,BEGIN_CALIBRATION,TIMESTAMP=1447328974383	USER=2015011335	JOBID=4	DOCID=0	ACTION=BEGIN_CALIBRATION	INFO:
187,2015011335,4,END_CALIBRATION,TIMESTAMP=1447329043245	USER=2015011335	JOBID=4	DOCID=0	ACTION=END_CALIBRATION	INFO:
188,2015011335,4,BEGIN_CALIBRATION,TIMESTAMP=1447329045926	USER=2015011335	JOBID=4	DOCID=9	ACTION=BEGIN_CALIBRATION	INFO:
189,2015011335,4,END_CALIBRATION,TIMESTAMP=1447329140798	USER=2015011335	JOBID=4	DOCID=9	ACTION=END_CALIBRATION	INFO:
190,2015011335,4,BEGIN_READING,TIMESTAMP=1447329146776	USER=2015011335	JOBID=4	ACTION=BEGIN_READING	INFO: CURRENT_DOC=1
191,2015011335,4,END_READING,TIMESTAMP=1447329268488	USER=2015011335	JOBID=4	ACTION=END_READING	INFO: CURRENT_DOC=1
192,2015011335,4,TIME_ESTIMATION,TIMESTAMP=1447329277028	USER=2015011335	JOBID=4	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=1 ET=57 REL=3 ANS=C
193,2015011335,4,BEGIN_READING,TIMESTAMP=1447329278726	USER=2015011335	JOBID=4	ACTION=BEGIN_READING	INFO: CURRENT_DOC=2
194,2015011335,4,END_READING,TIMESTAMP=1447329373661	USER=2015011335	JOBID=4	ACTION=END_READING	INFO: CURRENT_DOC=2
195,2015011335,4,TIME_ESTIMATION,TIMESTAMP=1447329388409	USER=2015011335	JOBID=4	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=2 ET=50 REL=3 ANS=A
196,2015011335,4,BEGIN_READING,TIMESTAMP=1447329389976	USER=2015011335	JOBID=4	ACTION=BEGIN_READING	INFO: CURRENT_DOC=3
197,2015011335,4,END_READING,TIMESTAMP=1447329460645	USER=2015011335	JOBID=4	ACTION=END_READING	INFO: CURRENT_DOC=3
198,2015011335,4,TIME_ESTIMATION,TIMESTAMP=1447329474544	USER=2015011335	JOBID=4	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=3 ET=50 REL=0 ANS=D
199,2015011335,4,BEGIN_READING,TIMESTAMP=1447329475343	USER=2015011335	JOBID=4	ACTION=BEGIN_READING	INFO: CURRENT_DOC=4
200,2015011335,4,END_READING,TIMESTAMP=1447329573868	USER=2015011335	JOBID=4	ACTION=END_READING	INFO: CURRENT_DOC=4
201,2015011335,4,TIME_ESTIMATION,TIMESTAMP=1447329585250	USER=2015011335	JOBID=4	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=4 ET=67 REL=0 ANS=D
202,2012012172,0,BEGIN_CALIBRATION,TIMESTAMP=1447333940064	USER=2012012172	JOBID=0	DOCID=0	ACTION=BEGIN_CALIBRATION	INFO:
203,2012012172,0,END_CALIBRATION,TIMESTAMP=1447333952109	USER=2012012172	JOBID=0	DOCID=0	ACTION=END_CALIBRATION	INFO:
204,2012012172,0,BEGIN_CALIBRATION,TIMESTAMP=1447333957069	USER=2012012172	JOBID=0	DOCID=9	ACTION=BEGIN_CALIBRATION	INFO:
205,2012012172,0,END_CALIBRATION,TIMESTAMP=1447333961897	USER=2012012172	JOBID=0	DOCID=9	ACTION=END_CALIBRATION	INFO:
206,2012012172,0,BEGIN_READING,TIMESTAMP=1447333992995	USER=2012012172	JOBID=0	ACTION=BEGIN_READING	INFO: CURRENT_DOC=1
207,2012012172,0,END_READING,TIMESTAMP=1447334011129	USER=2012012172	JOBID=0	ACTION=END_READING	INFO: CURRENT_DOC=1
208,2012012172,0,TIME_ESTIMATION,TIMESTAMP=1447334035245	USER=2012012172	JOBID=0	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=1 ET=82 REL=1 ANS=B
209,2012012172,0,BEGIN_READING,TIMESTAMP=1447334038963	USER=2012012172	JOBID=0	ACTION=BEGIN_READING	INFO: CURRENT_DOC=2
210,2012012172,0,END_READING,TIMESTAMP=1447334041130	USER=2012012172	JOBID=0	ACTION=END_READING	INFO: CURRENT_DOC=2
211,2012012172,0,BEGIN_READING,TIMESTAMP=1447334043231	USER=2012012172	JOBID=0	ACTION=BEGIN_READING	INFO: CURRENT_DOC=3
212,2012012172,0,BEGIN_READING,TIMESTAMP=1447334044468	USER=2012012172	JOBID=0	ACTION=BEGIN_READING	INFO: CURRENT_DOC=4
213,2015011286,0,BEGIN_CALIBRATION,TIMESTAMP=1447334173363	USER=2015011286	JOBID=0	DOCID=0	ACTION=BEGIN_CALIBRATION	INFO:
214,2015011286,0,END_CALIBRATION,TIMESTAMP=1447334265194	USER=2015011286	JOBID=0	DOCID=0	ACTION=END_CALIBRATION	INFO:
215,2015011286,0,BEGIN_CALIBRATION,TIMESTAMP=1447334269577	USER=2015011286	JOBID=0	DOCID=9	ACTION=BEGIN_CALIBRATION	INFO:
216,2015011286,0,END_CALIBRATION,TIMESTAMP=1447334553161	USER=2015011286	JOBID=0	DOCID=9	ACTION=END_CALIBRATION	INFO:
217,2015011286,0,BEGIN_READING,TIMESTAMP=1447334562761	USER=2015011286	JOBID=0	ACTION=BEGIN_READING	INFO: CURRENT_DOC=1
218,2015011286,0,END_READING,TIMESTAMP=1447334638358	USER=2015011286	JOBID=0	ACTION=END_READING	INFO: CURRENT_DOC=1
219,2015011286,0,TIME_ESTIMATION,TIMESTAMP=1447334660442	USER=2015011286	JOBID=0	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=1 ET=58 REL=2 ANS=B
220,2015011286,0,BEGIN_READING,TIMESTAMP=1447334664043	USER=2015011286	JOBID=0	ACTION=BEGIN_READING	INFO: CURRENT_DOC=2
