userid	relevant_before	taskid	estimation	perceived_ratio
U12	False	3	REL	-0.104580346109
U12	False	3	SEG	0.156012899165
U12	False	3	RAN	0.189457493659
U12	False	3	REL	0.328719560993
U12	True	3	SEG	-0.242063042837
U12	True	3	RAN	-0.730865754516
U12	True	3	REL	-0.348700290235
U12	False	3	SEG	0.0107454840335
U12	False	3	RAN	-0.177764647601
U12	False	3	REL	0.0845996168661
U12	False	4	SEG	0.674236216274
U12	False	4	RAN	0.531135372634
U12	False	4	REL	0.779596731932
U12	False	4	SEG	0.708668474906
U12	False	4	RAN	0.34955747617
U12	False	4	REL	0.755022584278
U12	False	4	SEG	0.0511056044976
U12	False	4	RAN	-0.210213909744
U12	False	4	REL	0.345732149302
U12	False	4	SEG	0.0855378631299
U12	False	4	RAN	-0.391791806208
U12	False	4	REL	0.321158001648
U12	False	5	SEG	1.14035407588
U12	False	5	RAN	0.71159738037
U12	False	5	REL	0.822262948258
U12	False	5	SEG	0.691037612986
U12	False	5	RAN	0.0744648413649
U12	False	5	REL	0.333550414371
U12	True	5	SEG	0.375545463593
U12	True	5	RAN	0.0946024656913
U12	True	5	REL	0.230734640016
U12	True	5	SEG	-0.0737709993005
U12	True	5	RAN	-0.542530073314
U12	True	5	REL	-0.257977893871
U13	False	2	SEG	-0.176515581737
U13	False	2	RAN	-0.250623553891
U13	False	2	REL	0.060530874746
U13	False	2	SEG	-0.599687031037
U13	False	2	RAN	-0.811945341671
U13	False	2	REL	-0.763155177502
U13	False	2	SEG	-0.741071618764
U13	False	2	RAN	-0.801330810282
U13	False	2	REL	-0.407938283408
U13	False	2	SEG	-1.16424306806
U13	False	2	RAN	-1.36265259806
U13	False	2	REL	-1.23162433566
U13	False	3	SEG	1.48321394847
U13	False	3	RAN	1.01193562179
U13	False	3	REL	1.55197324703
U13	False	3	SEG	-0.506026355631
U13	False	3	RAN	-0.368404977755
U13	False	3	REL	-0.44097567059
U13	False	3	SEG	0.401415005189
U13	False	3	RAN	0.407145679898
U13	False	3	REL	0.0903780265511
U13	False	4	SEG	-0.0456662454431
U13	False	4	RAN	-0.183751149604
U13	False	4	REL	0.201911331208
U13	False	4	SEG	0.972551552704
U13	False	4	RAN	-0.0296004697763
U13	False	4	REL	0.193543081538
U13	True	4	SEG	0.219202046367
U13	True	4	RAN	-0.204751693121
U13	True	4	REL	0.216628870293
U13	True	4	SEG	1.23741984451
U13	True	4	RAN	-0.0506010132938
U13	True	4	REL	0.208260620622
U13	True	5	SEG	-0.611691636776
U13	True	5	RAN	-0.839950288757
U13	True	5	REL	-0.781109788734
U13	True	5	SEG	-0.6539899402
U13	True	5	RAN	-0.88324709451
U13	True	5	REL	-0.904449302161
U13	True	5	SEG	-0.347571959336
U13	True	5	RAN	-0.779354375761
U13	True	5	REL	-0.333067273133
U13	True	5	SEG	-0.389870262759
U13	True	5	RAN	-0.822651181514
U13	True	5	REL	-0.45640678656
U14	False	2	SEG	0.446531884026
U14	False	2	RAN	0.560036486301
U14	False	2	REL	0.373260579158
U14	False	2	SEG	0.287838025011
U14	False	2	RAN	0.0999617104757
U14	False	2	REL	0.290480034474
U14	False	2	SEG	0.272391701264
U14	False	2	RAN	0.357746534529
U14	False	2	REL	0.0915434937542
U14	False	2	SEG	0.113697842249
U14	False	2	RAN	-0.102328241296
U14	False	2	REL	0.0087629490705
U14	False	3	SEG	0.35621874702
U14	False	3	RAN	0.426155254478
U14	False	3	REL	0.450252806057
U14	False	3	SEG	-0.165258202336
U14	False	3	RAN	0.158446722365
U14	False	3	REL	0.0955328969545
U14	False	3	SEG	-0.257506981711
U14	False	3	RAN	0.298391329824
U14	False	3	REL	-0.354909942188
U14	True	4	SEG	-0.0204760082796
U14	True	4	RAN	0.0421375844484
U14	True	4	REL	0.129735643766
U14	True	4	SEG	-0.414625578395
U14	True	4	RAN	-0.352011985667
U14	True	4	REL	-0.297203749172
U14	True	4	SEG	0.125697828065
U14	True	4	RAN	0.253685033895
U14	True	4	REL	0.311792664703
U14	True	4	SEG	-0.268451742051
U14	True	4	RAN	-0.14046453622
U14	True	4	REL	-0.115146728236
U14	False	5	SEG	0.468444799958
U14	False	5	RAN	0.412592722032
U14	False	5	REL	0.348054200895
U14	False	5	SEG	0.460647196059
U14	False	5	RAN	0.35424283897
U14	False	5	REL	0.35424283897
U14	True	5	SEG	0.142961980175
U14	True	5	RAN	0.0449815718146
U14	True	5	REL	-0.0965179904591
U14	True	5	SEG	0.135164376275
U14	True	5	RAN	-0.0133683112477
U14	True	5	REL	-0.0903293523838
U15	False	2	SEG	0.40655830926
